0.0000000000e+00 7.7831338426e-01 1.1445374816e-02
3.1250000000e-03 7.7806916682e-01 1.1442680290e-02
6.2500000000e-03 7.7779983640e-01 1.1439805874e-02
9.3750000000e-03 7.7750548410e-01 1.1436751620e-02
1.2500000000e-02 7.7718626151e-01 1.1433517579e-02
1.5625000000e-02 7.7684238043e-01 1.1430103807e-02
1.8750000000e-02 7.7647411094e-01 1.1426510366e-02
2.1875000000e-02 7.7608177879e-01 1.1422737330e-02
2.5000000000e-02 7.7566575981e-01 1.1418784764e-02
2.8125000000e-02 7.7522647625e-01 1.1414652738e-02
3.1250000000e-02 7.7476439274e-01 1.1410341342e-02
3.4375000000e-02 7.7428000684e-01 1.1405850655e-02
3.7500000000e-02 7.7377384390e-01 1.1401180765e-02
4.0625000000e-02 7.7324644903e-01 1.1396331758e-02
4.3750000000e-02 7.7269838016e-01 1.1391303737e-02
4.6875000000e-02 7.7213019909e-01 1.1386096805e-02
5.0000000000e-02 7.7154246290e-01 1.1380711064e-02
5.3125000000e-02 7.7093571670e-01 1.1375146619e-02
5.6250000000e-02 7.7031048550e-01 1.1369403585e-02
5.9375000000e-02 7.6966726664e-01 1.1363482077e-02
6.2500000000e-02 7.6900652436e-01 1.1357382230e-02
6.5625000000e-02 7.6832867907e-01 1.1351104148e-02
6.8750000000e-02 7.6763410794e-01 1.1344647974e-02
7.1875000000e-02 7.6692313503e-01 1.1338013829e-02
7.5000000000e-02 7.6619603222e-01 1.1331201870e-02
7.8125000000e-02 7.6545301235e-01 1.1324212229e-02
8.1250000000e-02 7.6469423011e-01 1.1317045051e-02
8.4375000000e-02 7.6391978110e-01 1.1309700481e-02
8.7500000000e-02 7.6312970433e-01 1.1302178689e-02
9.0625000000e-02 7.6232398034e-01 1.1294479825e-02
9.3750000000e-02 7.6150253784e-01 1.1286604055e-02
9.6875000000e-02 7.6066525422e-01 1.1278551535e-02
1.0000000000e-01 7.5981196447e-01 1.1270322444e-02
1.0312500000e-01 7.5894246383e-01 1.1261916957e-02
1.0625000000e-01 7.5805651470e-01 1.1253335253e-02
1.0937500000e-01 7.5715385516e-01 1.1244577525e-02
1.1250000000e-01 7.5623420302e-01 1.1235643944e-02
1.1562500000e-01 7.5529726793e-01 1.1226534716e-02
1.1875000000e-01 7.5434275620e-01 1.1217250041e-02
1.2187500000e-01 7.5337037799e-01 1.1207790109e-02
1.2500000000e-01 7.5237985727e-01 1.1198155125e-02
1.2812500000e-01 7.5137093755e-01 1.1188345293e-02
1.3125000000e-01 7.5034339040e-01 1.1178360836e-02
1.3437500000e-01 7.4929701919e-01 1.1168201964e-02
1.3750000000e-01 7.4823166590e-01 1.1157868889e-02
1.4062500000e-01 7.4714721793e-01 1.1147361849e-02
