0.0000000000e+00 1.0213334349e+01 5.0035296959e-02
3.1250000000e-03 1.0213066437e+01 5.0034669560e-02
6.2500000000e-03 1.0212551532e+01 5.0033434156e-02
9.3750000000e-03 1.0211789888e+01 5.0031590769e-02
1.2500000000e-02 1.0210781804e+01 5.0029139434e-02
1.5625000000e-02 1.0209527625e+01 5.0026080197e-02
1.8750000000e-02 1.0208027725e+01 5.0022413098e-02
2.1875000000e-02 1.0206282517e+01 5.0018138210e-02
2.5000000000e-02 1.0204292430e+01 5.0013255588e-02
2.8125000000e-02 1.0202057912e+01 5.0007765319e-02
3.1250000000e-02 1.0199579424e+01 5.0001667513e-02
3.4375000000e-02 1.0196857400e+01 4.9994962243e-02
3.7500000000e-02 1.0193892281e+01 4.9987649628e-02
4.0625000000e-02 1.0190684484e+01 4.9979729801e-02
4.3750000000e-02 1.0187234394e+01 4.9971202884e-02
4.6875000000e-02 1.0183542365e+01 4.9962069019e-02
5.0000000000e-02 1.0179608720e+01 4.9952328379e-02
5.3125000000e-02 1.0175433737e+01 4.9941981118e-02
5.6250000000e-02 1.0171017656e+01 4.9931027415e-02
5.9375000000e-02 1.0166360679e+01 4.9919467450e-02
6.2500000000e-02 1.0161462976e+01 4.9907301418e-02
6.5625000000e-02 1.0156324685e+01 4.9894529522e-02
6.8750000000e-02 1.0150945926e+01 4.9881151984e-02
7.1875000000e-02 1.0145326804e+01 4.9867169030e-02
7.5000000000e-02 1.0139467413e+01 4.9852580894e-02
7.8125000000e-02 1.0133367856e+01 4.9837387830e-02
8.1250000000e-02 1.0127028237e+01 4.9821590086e-02
8.4375000000e-02 1.0120448691e+01 4.9805187946e-02
8.7500000000e-02 1.0113629369e+01 4.9788181686e-02
9.0625000000e-02 1.0106570451e+01 4.9770571588e-02
9.3750000000e-02 1.0099272159e+01 4.9752357963e-02
9.6875000000e-02 1.0091734746e+01 4.9733541113e-02
1.0000000000e-01 1.0083958508e+01 4.9714121358e-02
1.0312500000e-01 1.0075943779e+01 4.9694099025e-02
1.0625000000e-01 1.0067690942e+01 4.9673474465e-02
1.0937500000e-01 1.0059200415e+01 4.9652248029e-02
1.1250000000e-01 1.0050472653e+01 4.9630420073e-02
1.1562500000e-01 1.0041508156e+01 4.9607990972e-02
1.1875000000e-01 1.0032307456e+01 4.9584961103e-02
1.2187500000e-01 1.0022871129e+01 4.9561330868e-02
1.2500000000e-01 1.0013199780e+01 4.9537100660e-02
1.2812500000e-01 1.0003294052e+01 4.9512270899e-02
1.3125000000e-01 9.9931546173e+00 4.9486842013e-02
1.3437500000e-01 9.9827821688e+00 4.9460814414e-02
1.3750000000e-01 9.9721774406e+00 4.9434188567e-02
1.4062500000e-01 9.9613411751e+00 4.9406964917e-02
1.4375000000e-01 9.9502741428e+00 4.9379143942e-02
1.4687500000e-01 9.9389771185e+00 4.9350726103e-02
1.5000000000e-01 9.9274508968e+00 4.9321711892e-02
1.5312500000e-01 9.9156962789e+00 4.9292101803e-02
1.5625000000e-01 9.9037140726e+00 4.9261896334e-02
1.5937500000e-01 9.8915050961e+00 4.9231096000e-02
1.6250000000e-01 9.8790701742e+00 4.9199701320e-02
1.6562500000e-01 9.8664101487e+00 4.9167712843e-02
1.6875000000e-01 9.8535258643e+00 4.9135131109e-02
1.7187500000e-01 9.8404181815e+00 4.9101956678e-02
1.7500000000e-01 9.8270879753e+00 4.9068190126e-02
1.7812500000e-01 9.8135361271e+00 4.9033832024e-02
1.8125000000e-01 9.7997635305e+00 4.8998882957e-02
1.8437500000e-01 9.7857710884e+00 4.8963343517e-02
1.8750000000e-01 9.7715597093e+00 4.8927214307e-02
1.9062500000e-01 9.7571303086e+00 4.8890495954e-02
1.9375000000e-01 9.7424838020e+00 4.8853189099e-02
1.9687500000e-01 9.7276210887e+00 4.8815294373e-02
2.0000000000e-01 9.7125430558e+00 4.8776812418e-02
2.0312500000e-01 9.6972505727e+00 4.8737743886e-02
2.0625000000e-01 9.6817444906e+00 4.8698089449e-02
2.0937500000e-01 9.6660256316e+00 4.8657849778e-02
2.1250000000e-01 9.6500947964e+00 4.8617025569e-02
2.1562500000e-01 9.6339527540e+00 4.8575617517e-02
2.1875000000e-01 9.6176002436e+00 4.8533626321e-02
2.2187500000e-01 9.6010379897e+00 4.8491052715e-02
2.2500000000e-01 9.5842666892e+00 4.8447897428e-02
2.2812500000e-01 9.5672870133e+00 4.8404161175e-02
2.3125000000e-01 9.5500996328e+00 4.8359844709e-02
2.3437500000e-01 9.5327052108e+00 4.8314948785e-02
2.3750000000e-01 9.5151044151e+00 4.8269474173e-02
2.4062500000e-01 9.4972979208e+00 4.8223421650e-02
2.4375000000e-01 9.4792864196e+00 4.8176792002e-02
2.4687500000e-01 9.4610706278e+00 4.8129586030e-02
2.5000000000e-01 9.4426512834e+00 4.8081804526e-02
2.5312500000e-01 9.4240291717e+00 4.8033448327e-02
2.5625000000e-01 9.4052051073e+00 4.7984518256e-02
2.5937500000e-01 9.3861799493e+00 4.7935015160e-02
2.6250000000e-01 9.3669545922e+00 4.7884939873e-02
2.6562500000e-01 9.3475299756e+00 4.7834293248e-02
2.6875000000e-01 9.3279070762e+00 4.7783076140e-02
2.7187500000e-01 9.3080869203e+00 4.7731289434e-02
2.7500000000e-01 9.2880705661e+00 4.7678934013e-02
2.7812500000e-01 9.2678591065e+00 4.7626010771e-02
2.8125000000e-01 9.2474536700e+00 4.7572520620e-02
2.8437500000e-01 9.2268554107e+00 4.7518464466e-02
2.8750000000e-01 9.2060655096e+00 4.7463843225e-02
2.9062500000e-01 9.1850851876e+00 4.7408657845e-02
2.9375000000e-01 9.1639156832e+00 4.7352909257e-02
2.9687500000e-01 9.1425582699e+00 4.7296598406e-02
3.0000000000e-01 9.1210142603e+00 4.7239726263e-02
3.0312500000e-01 9.0992849995e+00 4.7182293797e-02
3.0625000000e-01 9.0773718737e+00 4.7124301993e-02
