0.00000000000000000e+00 1.49673115876419320e+01 2.97536553001891571e+03 2.99033284160655785e+03 -1.98439784070094902e+03 1.48532784432264431e+00
5.00000000000000028e-02 1.49244775031614658e+01 2.97540822125908016e+03 2.99033269876224176e+03 -1.98439784203553131e+03 1.48532784432264520e+00
1.00000000000000006e-01 1.47907457764881141e+01 2.97554167429547851e+03 2.99033242007196668e+03 -1.98439781752583167e+03 1.48532784432264497e+00
1.50000000000000022e-01 1.45693254473707583e+01 2.97576302038958784e+03 2.99033234583695867e+03 -1.98439782412752811e+03 1.48532784432264520e+00
2.00000000000000011e-01 1.42622671465584485e+01 2.97606982556047114e+03 2.99033209270702946e+03 -1.98439782306112670e+03 1.48532784432264497e+00
2.50000000000000000e-01 1.38730040281101950e+01 2.97645875320095092e+03 2.99033175722906117e+03 -1.98439782037395025e+03 1.48532784432264453e+00
2.99999999999999989e-01 1.34065972063518419e+01 2.97692469391593750e+03 2.99033129112228926e+03 -1.98439786163733743e+03 1.48532784432264475e+00
3.49999999999999978e-01 1.28699452298036512e+01 2.97746071906870839e+03 2.99033066429851215e+03 -1.98439781202841004e+03 1.48532784432264431e+00
3.99999999999999967e-01 1.22712995623472505e+01 2.97805890312416886e+03 2.99033020268651626e+03 -1.98439784282685741e+03 1.48532784432264497e+00
4.49999999999999956e-01 1.16182525366467786e+01 2.97871138517876079e+03 2.99032963771540744e+03 -1.98439781980499401e+03 1.48532784432264497e+00
4.99999999999999944e-01 1.09192465898242794e+01 2.97940970668358568e+03 2.99032895327340975e+03 -1.98439783518053855e+03 1.48532784432264453e+00
5.49999999999999933e-01 1.01840570850561249e+01 2.98014426330364222e+03 2.99032832038869856e+03 -1.98439790447351061e+03 1.48532784432264475e+00
5.99999999999999978e-01 9.42213529203894673e+00 2.98090556375134202e+03 2.99032769904338102e+03 -1.98439784995851710e+03 1.48532784432264475e+00
6.50000000000000022e-01 8.64280436379312000e+00 2.98168424232487769e+03 2.99032704668867063e+03 -1.98439781057679738e+03 1.48532784432264386e+00
7.00000000000000067e-01 7.85577611174029400e+00 2.98247065257592385e+03 2.99032642868766425e+03 -1.98439781459173309e+03 1.48532784432264497e+00
7.50000000000000111e-01 7.07047788450193071e+00 2.98325533754495245e+03 2.99032581542945445e+03 -1.98439785295626166e+03 1.48532784432264475e+00
8.00000000000000155e-01 6.29627977581376541e+00 2.98402891544770864e+03 2.99032519522352231e+03 -1.98439780569717595e+03 1.48532784432264453e+00
8.50000000000000200e-01 5.54235314009291624e+00 2.98478230894809303e+03 2.99032466208818596e+03 -1.98439785376497366e+03 1.48532784432264497e+00
9.00000000000000244e-01 4.81735377267943488e+00 2.98550672456655866e+03 2.99032407833923799e+03 -1.98439786830237972e+03 1.48532784432264497e+00
9.50000000000000289e-01 4.12951865953614217e+00 2.98619427176557610e+03 2.99032379042511229e+03 -1.98439785013375331e+03 1.48532784432264431e+00
1.00000000000000022e+00 3.48496240260107104e+00 2.98683834266764006e+03 2.99032330507024108e+03 -1.98439783407026380e+03 1.48532784432264475e+00
1.05000000000000027e+00 2.89042186051437566e+00 2.98743254070251623e+03 2.99032296256303061e+03 -1.98439782730098068e+03 1.48532784432264475e+00
1.10000000000000031e+00 2.35154406646650527e+00 2.98797121605781103e+03 2.99032276012427747e+03 -1.98439779585829729e+03 1.48532784432264431e+00
1.15000000000000036e+00 1.87243968608486844e+00 2.98845005907698760e+03 2.99032249876307242e+03 -1.98439784633853151e+03 1.48532784432264475e+00
1.20000000000000040e+00 1.45692449513668043e+00 2.98886554595128337e+03 2.99032247044642008e+03 -1.98439790039049944e+03 1.48532784432264431e+00
