1.2031250000e+00 1.7757797437e-01 1.1380102706e-03
1.2062500000e+00 1.7709026229e-01 1.1121359557e-03
1.2093750000e+00 1.7661134289e-01 1.0868763687e-03
1.2125000000e+00 1.7614087779e-01 1.0622696547e-03
1.2156250000e+00 1.7567856933e-01 1.0383562678e-03
1.2187500000e+00 1.7522416411e-01 1.0151790143e-03
1.2218750000e+00 1.7477745557e-01 9.9278302998e-04
1.2250000000e+00 1.7433828553e-01 9.7121564892e-04
1.2281250000e+00 1.7390654572e-01 9.5052632209e-04
1.2312500000e+00 1.7348217788e-01 9.3076640318e-04
1.2343750000e+00 1.7306517308e-01 9.1198881792e-04
1.2375000000e+00 1.7265557150e-01 8.9424773067e-04
1.2406250000e+00 1.7225345965e-01 8.7759799871e-04
1.2437500000e+00 1.7185896847e-01 8.6209460504e-04
1.2468750000e+00 1.7147227044e-01 8.4779190929e-04
1.2500000000e+00 1.7109357595e-01 8.3474287782e-04
1.2531250000e+00 1.7072312953e-01 8.2299811975e-04
1.2562500000e+00 1.7036120568e-01 8.1260492199e-04
1.2593750000e+00 1.7000810488e-01 8.0360626908e-04
1.2625000000e+00 1.6966414844e-01 7.9603975836e-04
1.2656250000e+00 1.6932967432e-01 7.8993665927e-04
1.2687500000e+00 1.6900503237e-01 7.8532104297e-04
1.2718750000e+00 1.6869057968e-01 7.8220902591e-04
1.2750000000e+00 1.6838667636e-01 7.8060823402e-04
1.2781250000e+00 1.6809368085e-01 7.8051748428e-04
1.2812500000e+00 1.6781194636e-01 7.8192672859e-04
1.2843750000e+00 1.6754181675e-01 7.8481721668e-04
1.2875000000e+00 1.6728362362e-01 7.8916198070e-04
1.2906250000e+00 1.6703768262e-01 7.9492643236e-04
1.2937500000e+00 1.6680429099e-01 8.0206921174e-04
1.2968750000e+00 1.6658372510e-01 8.1054312544e-04
1.3000000000e+00 1.6637623834e-01 8.2029621166e-04
1.3031250000e+00 1.6618205936e-01 8.3127278302e-04
1.3062500000e+00 1.6600139050e-01 8.4341443004e-04
1.3093750000e+00 1.6583440669e-01 8.5666105249e-04
1.3125000000e+00 1.6568125461e-01 8.7095177493e-04
